generic_name,brand_names,active_ingredients,nafdac_approved,nafdac_registration_number,nafdac_schedule,requires_special_prescription,us_dea_schedule,uk_controlled_drug_class,who_essential_medicine,refrigeration_required,black_box_warning,requires_physician_only,prescribing_level,is_controlled,therapeutic_class,pharmacological_class,mechanism_of_action,requires_monitoring,requires_pregnancy_test,requires_baseline_tests,monitoring_type,typical_treatment_duration_days,long_term_therapy,abuse_potential,teratogenic,pregnancy_category,requires_contraception,major_contraindications,major_interactions,black_box_warning_text,common_side_effects,serious_adverse_effects,cost_considerations,alternative_medications,search_keywords
Vitamin B Complex,"B-Complex,Neurobion","B1 B2 B3 B5 B6 B12",true,A4-9151,unscheduled,,not_scheduled,not_controlled,true,false,false,false,1,false,Nutritional,Vitamin Supplement,Essential B vitamins for metabolism,false,false,false,,30,true,none,no,A,false,"Hypersensitivity",None significant,,Mild GI upset|Urine discoloration,Rarely - allergic reactions,Very low cost,Individual B vitamins,vitamin b complex neurobion thiamine riboflavin niacin
Folic Acid,"Folate,Folvite","Folic Acid 5mg",true,A4-9152,unscheduled,,not_scheduled,not_controlled,true,false,false,false,1,false,Nutritional,Vitamin Supplement,Essential for DNA synthesis and cell division,false,false,false,,90,true,none,no,A,false,"Hypersensitivity,Pernicious anemia (without B12)","Methotrexate,Phenytoin,Sulfasalazine",,Nausea|Bloating,Masking of B12 deficiency,Very low cost,Folinic acid (leucovorin),folic acid folate vitamin b9 pregnancy neural tube
Vitamin D3,"Cholecalciferol,D3","Cholecalciferol 1000 IU",true,A4-9153,unscheduled,,not_scheduled,not_controlled,false,false,false,false,1,false,Nutritional,Vitamin Supplement,Essential for calcium absorption and bone health,true,false,true,Serum calcium vitamin D,90,true,none,no,A,false,"Hypercalcemia,Vitamin D toxicity,Hypersensitivity","Thiazide diuretics,Cardiac glycosides,Calcium supplements",,Generally well-tolerated,Hypercalcemia|Hypercalciuria|Renal stones|Soft tissue calcification,Low cost,Vitamin D2 (ergocalciferol),vitamin d3 cholecalciferol calciferol bone osteoporosis
Calcium Carbonate,"Caltrate,Os-Cal","Calcium Carbonate 500mg",true,A4-9154,unscheduled,,not_scheduled,not_controlled,false,false,false,false,1,false,Nutritional,Mineral Supplement,Provides elemental calcium,true,false,false,Serum calcium,ongoing,true,none,no,A,false,"Hypercalcemia,Renal calculi,Hypercalciuria","Tetracyclines,Fluoroquinolones,Levothyroxine,Iron,Bisphosphonates",,Constipation|Bloating|Gas,Hypercalcemia|Milk-alkali syndrome|Renal stones,Very low cost,Calcium citrate,calcium carbonate supplement bone osteoporosis antacid
Ferrous Sulfate,"Feosol,Fer-In-Sol","Ferrous Sulfate 325mg",true,A4-9155,unscheduled,,not_scheduled,not_controlled,true,false,false,false,1,false,Nutritional,Iron Supplement,Provides elemental iron for hemoglobin synthesis,true,false,true,Hemoglobin ferritin,90,true,none,no,A,false,"Hemochromatosis,Hemosiderosis,Hemolytic anemia","Tetracyclines,Quinolones,Levothyroxine,Antacids,PPIs",,Constipation|Nausea|Dark stools|Abdominal pain,Iron overload|GI ulceration|Toxicity in overdose,Very low cost,Ferrous gluconate|Iron polymaltose,ferrous sulfate iron supplement anemia hemoglobin ferritin
Zinc Sulfate,"Zincovit,Zinc","Zinc Sulfate 20mg",true,A4-9156,unscheduled,,not_scheduled,not_controlled,false,false,false,false,1,false,Nutritional,Mineral Supplement,Essential mineral for immune function and wound healing,false,false,false,,30,false,none,no,A,false,"Hypersensitivity","Quinolones,Tetracyclines,Penicillamine",,Nausea|Vomiting|Metallic taste,Copper deficiency with prolonged high doses,Low cost,Zinc gluconate,zinc sulfate supplement immune wound healing
Multivitamin,"Centrum,One-A-Day","Multiple vitamins and minerals",true,A4-9157,unscheduled,,not_scheduled,not_controlled,false,false,false,false,1,false,Nutritional,Multivitamin,Provides daily vitamin and mineral requirements,false,false,false,,ongoing,true,none,no,A,false,"Hypersensitivity,Hypervitaminosis","Iron absorption interactions,Various",,Generally well-tolerated,Hypervitaminosis (fat-soluble vitamins)|Iron overload,Low cost,Individual vitamins,multivitamin centrum daily supplement nutrition
Omega-3 Fatty Acids,"Fish Oil,Omacor","EPA and DHA",true,A4-9158,unscheduled,,not_scheduled,not_controlled,false,false,false,false,1,false,Nutritional,Supplement,Anti-inflammatory and cardioprotective effects,false,false,false,,ongoing,true,none,no,A,false,"Hypersensitivity to fish","Anticoagulants,Antiplatelets",,Fishy aftertaste|GI upset|Burping,Increased bleeding risk at high doses,Low to moderate cost,Flaxseed oil,omega-3 fish oil epa dha triglycerides cardiovascular
Bupropion SR,"Zyban,Wellbutrin SR","Bupropion 150mg SR",true,A4-9159,unscheduled,,not_scheduled,not_controlled,false,false,true,true,3,false,Smoking Cessation,NDRI,Norepinephrine-dopamine reuptake inhibitor,false,false,false,,84,false,low,no,C,false,"Seizure disorders,Bulimia/anorexia,Abrupt alcohol/benzodiazepine withdrawal,MAOIs within 14 days","MAOIs,Drugs lowering seizure threshold,CYP2D6 substrates",true,"Increased risk of suicidal thinking and behavior. Serious neuropsychiatric events. Dose-dependent seizure risk.",Dry mouth|Insomnia|Headache|Nausea|Agitation,Seizures|Hypertension|Neuropsychiatric symptoms|Angle-closure glaucoma,Moderate cost,Varenicline|Nicotine replacement,bupropion zyban smoking cessation ndri seizure risk
Varenicline,"Champix,Chantix","Varenicline 1mg",true,A4-9160,unscheduled,,not_scheduled,not_controlled,false,false,true,true,3,false,Smoking Cessation,Nicotinic Receptor Partial Agonist,Partial agonist at α4β2 nicotinic receptors,false,false,false,,84,false,none,no,C,false,"Hypersensitivity","Alcohol (increased intoxication),Nicotine replacement (increased side effects)",true,"Serious neuropsychiatric events including changes in behavior hostility agitation depressed mood and suicidal thoughts. Increased cardiovascular events in patients with cardiovascular disease.",Nausea|Insomnia|Abnormal dreams|Headache|Constipation,Neuropsychiatric symptoms|Suicidal ideation|Seizures|Cardiovascular events|Serious skin reactions,High cost,Bupropion|Nicotine replacement therapy,varenicline champix chantix smoking cessation neuropsychiatric
